pickup_location,drop_location,AverageDistance
"Newark Airport, EWR","Newark Airport, EWR",0
"Newark Airport, EWR","Grymes Hill/Clifton, Boro Zone, Staten Island",16.14
"Newark Airport, EWR","Highbridge, Boro Zone, Bronx",24.75
"Newark Airport, EWR","Richmond Hill, Boro Zone, Queens",37.12
"Newark Airport, EWR","Washington Heights South, Boro Zone, Manhattan",29.65
"Newark Airport, EWR","Yorkville West, Yellow Zone, Manhattan",18.73
"Jamaica Bay, Boro Zone, Queens","Broad Channel, Boro Zone, Queens",0.36
"Allerton/Pelham Gardens, Boro Zone, Bronx","Allerton/Pelham Gardens, Boro Zone, Bronx",0.805546218
"Allerton/Pelham Gardens, Boro Zone, Bronx","Astoria, Boro Zone, Queens",11.67714286
"Allerton/Pelham Gardens, Boro Zone, Bronx","Baisley Park, Boro Zone, Queens",13.26
"Allerton/Pelham Gardens, Boro Zone, Bronx","Bay Ridge, Boro Zone, Brooklyn",28.415
"Allerton/Pelham Gardens, Boro Zone, Bronx","Bayside, Boro Zone, Queens",9.79
"Allerton/Pelham Gardens, Boro Zone, Bronx","Bedford, Boro Zone, Brooklyn",21.14
"Allerton/Pelham Gardens, Boro Zone, Bronx","Bedford Park, Boro Zone, Bronx",2.677692308
"Allerton/Pelham Gardens, Boro Zone, Bronx","Belmont, Boro Zone, Bronx",2.310454545
"Allerton/Pelham Gardens, Boro Zone, Bronx","Bensonhurst East, Boro Zone, Brooklyn",29.33666667
"Allerton/Pelham Gardens, Boro Zone, Bronx","Bloomingdale, Yellow Zone, Manhattan",11.39
"Allerton/Pelham Gardens, Boro Zone, Bronx","Brighton Beach, Boro Zone, Brooklyn",31.185
"Allerton/Pelham Gardens, Boro Zone, Bronx","Bronx Park, Boro Zone, Bronx",1.8125
"Allerton/Pelham Gardens, Boro Zone, Bronx","Bronxdale, Boro Zone, Bronx",1.414347826
"Allerton/Pelham Gardens, Boro Zone, Bronx","Brooklyn Heights, Boro Zone, Brooklyn",18.93
"Allerton/Pelham Gardens, Boro Zone, Bronx","Brownsville, Boro Zone, Brooklyn",20.82833333
"Allerton/Pelham Gardens, Boro Zone, Bronx","Cambria Heights, Boro Zone, Queens",16.44
"Allerton/Pelham Gardens, Boro Zone, Bronx","Canarsie, Boro Zone, Brooklyn",22.75833333
"Allerton/Pelham Gardens, Boro Zone, Bronx","Central Harlem, Boro Zone, Manhattan",9.654615385
"Allerton/Pelham Gardens, Boro Zone, Bronx","Central Harlem North, Boro Zone, Manhattan",8.651428571
"Allerton/Pelham Gardens, Boro Zone, Bronx","Central Park, Yellow Zone, Manhattan",10.21666667
"Allerton/Pelham Gardens, Boro Zone, Bronx","Chinatown, Yellow Zone, Manhattan",17.27
"Allerton/Pelham Gardens, Boro Zone, Bronx","City Island, Boro Zone, Bronx",3.5025
"Allerton/Pelham Gardens, Boro Zone, Bronx","Claremont/Bathgate, Boro Zone, Bronx",4.496956522
"Allerton/Pelham Gardens, Boro Zone, Bronx","Clinton East, Yellow Zone, Manhattan",14.01285714
"Allerton/Pelham Gardens, Boro Zone, Bronx","Clinton West, Yellow Zone, Manhattan",15.30842105
"Allerton/Pelham Gardens, Boro Zone, Bronx","Co-Op City, Boro Zone, Bronx",2.143841463
"Allerton/Pelham Gardens, Boro Zone, Bronx","Columbia Street, Boro Zone, Brooklyn",19.74
"Allerton/Pelham Gardens, Boro Zone, Bronx","Coney Island, Boro Zone, Brooklyn",27.99555556
"Allerton/Pelham Gardens, Boro Zone, Bronx","Country Club, Boro Zone, Bronx",2.58125
"Allerton/Pelham Gardens, Boro Zone, Bronx","Crotona Park, Boro Zone, Bronx",3.62
"Allerton/Pelham Gardens, Boro Zone, Bronx","Crotona Park East, Boro Zone, Bronx",4.183571429
"Allerton/Pelham Gardens, Boro Zone, Bronx","Crown Heights North, Boro Zone, Brooklyn",21.42
"Allerton/Pelham Gardens, Boro Zone, Bronx","Cypress Hills, Boro Zone, Brooklyn",16.23
"Allerton/Pelham Gardens, Boro Zone, Bronx","East Chelsea, Yellow Zone, Manhattan",17.08
"Allerton/Pelham Gardens, Boro Zone, Bronx","East Concourse/Concourse Village, Boro Zone, Bronx",7.516923077
"Allerton/Pelham Gardens, Boro Zone, Bronx","East Flatbush/Farragut, Boro Zone, Brooklyn",21.61
"Allerton/Pelham Gardens, Boro Zone, Bronx","East Flatbush/Remsen Village, Boro Zone, Brooklyn",20
"Allerton/Pelham Gardens, Boro Zone, Bronx","East Harlem North, Boro Zone, Manhattan",8.144230769
"Allerton/Pelham Gardens, Boro Zone, Bronx","East Harlem South, Boro Zone, Manhattan",9.938392857
"Allerton/Pelham Gardens, Boro Zone, Bronx","East New York, Boro Zone, Brooklyn",14.55
"Allerton/Pelham Gardens, Boro Zone, Bronx","East Tremont, Boro Zone, Bronx",3.781142857
"Allerton/Pelham Gardens, Boro Zone, Bronx","East Williamsburg, Boro Zone, Brooklyn",16.96428571
"Allerton/Pelham Gardens, Boro Zone, Bronx","Eastchester, Boro Zone, Bronx",1.905353535
"Allerton/Pelham Gardens, Boro Zone, Bronx","Far Rockaway, Boro Zone, Queens",23.458
"Allerton/Pelham Gardens, Boro Zone, Bronx","Financial District North, Yellow Zone, Manhattan",18.79333333
"Allerton/Pelham Gardens, Boro Zone, Bronx","Financial District South, Yellow Zone, Manhattan",18.32
"Allerton/Pelham Gardens, Boro Zone, Bronx","Flatbush/Ditmas Park, Boro Zone, Brooklyn",27.1
"Allerton/Pelham Gardens, Boro Zone, Bronx","Flatiron, Yellow Zone, Manhattan",15.7
"Allerton/Pelham Gardens, Boro Zone, Bronx","Fordham South, Boro Zone, Bronx",3.572307692
"Allerton/Pelham Gardens, Boro Zone, Bronx","Forest Hills, Boro Zone, Queens",11.04
"Allerton/Pelham Gardens, Boro Zone, Bronx","Fort Greene, Boro Zone, Brooklyn",20.02
"Allerton/Pelham Gardens, Boro Zone, Bronx","Fresh Meadows, Boro Zone, Queens",11.87
"Allerton/Pelham Gardens, Boro Zone, Bronx","Garment District, Yellow Zone, Manhattan",16.27
"Allerton/Pelham Gardens, Boro Zone, Bronx","Gramercy, Yellow Zone, Manhattan",14.16
"Allerton/Pelham Gardens, Boro Zone, Bronx","Gravesend, Boro Zone, Brooklyn",22.866
"Allerton/Pelham Gardens, Boro Zone, Bronx","Greenwich Village North, Yellow Zone, Manhattan",16.53
"Allerton/Pelham Gardens, Boro Zone, Bronx","Hamilton Heights, Boro Zone, Manhattan",9.569230769
"Allerton/Pelham Gardens, Boro Zone, Bronx","Hammels/Arverne, Boro Zone, Queens",24.5525
"Allerton/Pelham Gardens, Boro Zone, Bronx","Highbridge, Boro Zone, Bronx",7.746818182
"Allerton/Pelham Gardens, Boro Zone, Bronx","Highbridge Park, Boro Zone, Manhattan",6.56
"Allerton/Pelham Gardens, Boro Zone, Bronx","Hillcrest/Pomonok, Boro Zone, Queens",14.18
"Allerton/Pelham Gardens, Boro Zone, Bronx","Hollis, Boro Zone, Queens",14.27
"Allerton/Pelham Gardens, Boro Zone, Bronx","Homecrest, Boro Zone, Brooklyn",28.17
"Allerton/Pelham Gardens, Boro Zone, Bronx","Hudson Sq, Yellow Zone, Manhattan",12.68666667
"Allerton/Pelham Gardens, Boro Zone, Bronx","Hunts Point, Boro Zone, Bronx",5.34
"Allerton/Pelham Gardens, Boro Zone, Bronx","Inwood, Boro Zone, Manhattan",6.192
"Allerton/Pelham Gardens, Boro Zone, Bronx","Inwood Hill Park, Boro Zone, Manhattan",4.68
"Allerton/Pelham Gardens, Boro Zone, Bronx","Jamaica, Boro Zone, Queens",14.6025
"Allerton/Pelham Gardens, Boro Zone, Bronx","JFK Airport, Airports, Queens",19.895
"Allerton/Pelham Gardens, Boro Zone, Bronx","Kensington, Boro Zone, Brooklyn",23.41
"Allerton/Pelham Gardens, Boro Zone, Bronx","Kingsbridge Heights, Boro Zone, Bronx",3.747916667
"Allerton/Pelham Gardens, Boro Zone, Bronx","Kips Bay, Yellow Zone, Manhattan",13.74529412
"Allerton/Pelham Gardens, Boro Zone, Bronx","LaGuardia Airport, Airports, Queens",10.66
"Allerton/Pelham Gardens, Boro Zone, Bronx","Laurelton, Boro Zone, Queens",19.26
"Allerton/Pelham Gardens, Boro Zone, Bronx","Lenox Hill East, Yellow Zone, Manhattan",10.275
"Allerton/Pelham Gardens, Boro Zone, Bronx","Lenox Hill West, Yellow Zone, Manhattan",12.67
"Allerton/Pelham Gardens, Boro Zone, Bronx","Lincoln Square East, Yellow Zone, Manhattan",13.74487805
"Allerton/Pelham Gardens, Boro Zone, Bronx","Lincoln Square West, Yellow Zone, Manhattan",13.13
"Allerton/Pelham Gardens, Boro Zone, Bronx","Long Island City/Hunters Point, Boro Zone, Queens",14.81
"Allerton/Pelham Gardens, Boro Zone, Bronx","Long Island City/Queens Plaza, Boro Zone, Queens",13.0025
"Allerton/Pelham Gardens, Boro Zone, Bronx","Longwood, Boro Zone, Bronx",5.761428571
"Allerton/Pelham Gardens, Boro Zone, Bronx","Manhattan Valley, Yellow Zone, Manhattan",11.65166667
"Allerton/Pelham Gardens, Boro Zone, Bronx","Marble Hill, Boro Zone, Manhattan",4.388571429
"Allerton/Pelham Gardens, Boro Zone, Bronx","Marine Park/Floyd Bennett Field, Boro Zone, Brooklyn",24.99
"Allerton/Pelham Gardens, Boro Zone, Bronx","Marine Park/Mill Basin, Boro Zone, Brooklyn",21.55
"Allerton/Pelham Gardens, Boro Zone, Bronx","Meatpacking/West Village West, Yellow Zone, Manhattan",17.4825
"Allerton/Pelham Gardens, Boro Zone, Bronx","Melrose South, Boro Zone, Bronx",6.991910112
"Allerton/Pelham Gardens, Boro Zone, Bronx","Midtown Center, Yellow Zone, Manhattan",13.86
"Allerton/Pelham Gardens, Boro Zone, Bronx","Midtown East, Yellow Zone, Manhattan",13.212
"Allerton/Pelham Gardens, Boro Zone, Bronx","Midtown South, Yellow Zone, Manhattan",13.484
"Allerton/Pelham Gardens, Boro Zone, Bronx","Morningside Heights, Boro Zone, Manhattan",9.576428571
"Allerton/Pelham Gardens, Boro Zone, Bronx","Morrisania/Melrose, Boro Zone, Bronx",5.286
"Allerton/Pelham Gardens, Boro Zone, Bronx","Mott Haven/Port Morris, Boro Zone, Bronx",7.811153846
"Allerton/Pelham Gardens, Boro Zone, Bronx","Mount Hope, Boro Zone, Bronx",4.138
"Allerton/Pelham Gardens, Boro Zone, Bronx","Murray Hill, Yellow Zone, Manhattan",14.15166667
"Allerton/Pelham Gardens, Boro Zone, Bronx","Norwood, Boro Zone, Bronx",2.431621622
"Allerton/Pelham Gardens, Boro Zone, Bronx","Oakland Gardens, Boro Zone, Queens",12.70428571
"Allerton/Pelham Gardens, Boro Zone, Bronx","Ocean Hill, Boro Zone, Brooklyn",16.82
"Allerton/Pelham Gardens, Boro Zone, Bronx","Old Astoria, Boro Zone, Queens",11.28153846
"Allerton/Pelham Gardens, Boro Zone, Bronx","Parkchester, Boro Zone, Bronx",2.723076923
"Allerton/Pelham Gardens, Boro Zone, Bronx","Pelham Bay, Boro Zone, Bronx",1.89625
"Allerton/Pelham Gardens, Boro Zone, Bronx","Pelham Bay Park, Boro Zone, Bronx",2.288333333
"Allerton/Pelham Gardens, Boro Zone, Bronx","Pelham Parkway, Boro Zone, Bronx",1.792089552
"Allerton/Pelham Gardens, Boro Zone, Bronx","Penn Station/Madison Sq West, Yellow Zone, Manhattan",16.615
"Allerton/Pelham Gardens, Boro Zone, Bronx","Prospect-Lefferts Gardens, Boro Zone, Brooklyn",19.98333333
"Allerton/Pelham Gardens, Boro Zone, Bronx","Queens Village, Boro Zone, Queens",16.91
"Allerton/Pelham Gardens, Boro Zone, Bronx","Randalls Island, Yellow Zone, Manhattan",11.025
"Allerton/Pelham Gardens, Boro Zone, Bronx","Rego Park, Boro Zone, Queens",10.975
"Allerton/Pelham Gardens, Boro Zone, Bronx","Richmond Hill, Boro Zone, Queens",13.614
"Allerton/Pelham Gardens, Boro Zone, Bronx","Ridgewood, Boro Zone, Queens",16.33
"Allerton/Pelham Gardens, Boro Zone, Bronx","Riverdale/North Riverdale/Fieldston, Boro Zone, Bronx",5.509230769
"Allerton/Pelham Gardens, Boro Zone, Bronx","Saint Albans, Boro Zone, Queens",13.94333333
"Allerton/Pelham Gardens, Boro Zone, Bronx","Saint George/New Brighton, Boro Zone, Staten Island",33.87
"Allerton/Pelham Gardens, Boro Zone, Bronx","Schuylerville/Edgewater Park, Boro Zone, Bronx",3.935319149
"Allerton/Pelham Gardens, Boro Zone, Bronx","Seaport, Yellow Zone, Manhattan",19.25
"Allerton/Pelham Gardens, Boro Zone, Bronx","Sheepshead Bay, Boro Zone, Brooklyn",25.67
"Allerton/Pelham Gardens, Boro Zone, Bronx","Soundview/Bruckner, Boro Zone, Bronx",4.3596875
"Allerton/Pelham Gardens, Boro Zone, Bronx","Soundview/Castle Hill, Boro Zone, Bronx",4.194473684
"Allerton/Pelham Gardens, Boro Zone, Bronx","Springfield Gardens North, Boro Zone, Queens",18.89166667
"Allerton/Pelham Gardens, Boro Zone, Bronx","Spuyten Duyvil/Kingsbridge, Boro Zone, Bronx",6.269811321
"Allerton/Pelham Gardens, Boro Zone, Bronx","Starrett City, Boro Zone, Brooklyn",20.86333333
"Allerton/Pelham Gardens, Boro Zone, Bronx","Stuyvesant Heights, Boro Zone, Brooklyn",18.702
"Allerton/Pelham Gardens, Boro Zone, Bronx","Sunnyside, Boro Zone, Queens",14.60357143
"Allerton/Pelham Gardens, Boro Zone, Bronx","Sunset Park East, Boro Zone, Brooklyn",25.01
"Allerton/Pelham Gardens, Boro Zone, Bronx","Sutton Place/Turtle Bay North, Yellow Zone, Manhattan",12.695
"Allerton/Pelham Gardens, Boro Zone, Bronx","Times Sq/Theatre District, Yellow Zone, Manhattan",12.25666667
"Allerton/Pelham Gardens, Boro Zone, Bronx","TriBeCa/Civic Center, Yellow Zone, Manhattan",18.12428571
"Allerton/Pelham Gardens, Boro Zone, Bronx","Two Bridges/Seward Park, Yellow Zone, Manhattan",16.702
"Allerton/Pelham Gardens, Boro Zone, Bronx","UN/Turtle Bay South, Yellow Zone, Manhattan",12.74454545
"Allerton/Pelham Gardens, Boro Zone, Bronx","University Heights/Morris Heights, Boro Zone, Bronx",5.331612903
"Allerton/Pelham Gardens, Boro Zone, Bronx","Upper East Side North, Yellow Zone, Manhattan",11.31333333
"Allerton/Pelham Gardens, Boro Zone, Bronx","Upper East Side South, Yellow Zone, Manhattan",12.4475
"Allerton/Pelham Gardens, Boro Zone, Bronx","Upper West Side North, Yellow Zone, Manhattan",13.72333333
"Allerton/Pelham Gardens, Boro Zone, Bronx","Van Cortlandt Park, Boro Zone, Bronx",4.023333333
"Allerton/Pelham Gardens, Boro Zone, Bronx","Van Cortlandt Village, Boro Zone, Bronx",3.919090909
"Allerton/Pelham Gardens, Boro Zone, Bronx","Van Nest/Morris Park, Boro Zone, Bronx",1.77016129
"Allerton/Pelham Gardens, Boro Zone, Bronx","Washington Heights North, Boro Zone, Manhattan",7.14
"Allerton/Pelham Gardens, Boro Zone, Bronx","Washington Heights South, Boro Zone, Manhattan",8.57037037
"Allerton/Pelham Gardens, Boro Zone, Bronx","West Chelsea/Hudson Yards, Yellow Zone, Manhattan",17.61
"Allerton/Pelham Gardens, Boro Zone, Bronx","West Concourse, Boro Zone, Bronx",5.983333333
"Allerton/Pelham Gardens, Boro Zone, Bronx","West Farms/Bronx River, Boro Zone, Bronx",3.341666667
"Allerton/Pelham Gardens, Boro Zone, Bronx","Westchester Village/Unionport, Boro Zone, Bronx",3.139142857
"Allerton/Pelham Gardens, Boro Zone, Bronx","Whitestone, Boro Zone, Queens",7.533333333
"Allerton/Pelham Gardens, Boro Zone, Bronx","Williamsbridge/Olinville, Boro Zone, Bronx",1.758860759
"Allerton/Pelham Gardens, Boro Zone, Bronx","Windsor Terrace, Boro Zone, Brooklyn",25.3
"Allerton/Pelham Gardens, Boro Zone, Bronx","Woodhaven, Boro Zone, Queens",19.96
"Allerton/Pelham Gardens, Boro Zone, Bronx","Woodlawn/Wakefield, Boro Zone, Bronx",3.286818182
"Allerton/Pelham Gardens, Boro Zone, Bronx","Woodside, Boro Zone, Queens",12.54034483
"Allerton/Pelham Gardens, Boro Zone, Bronx","World Trade Center, Yellow Zone, Manhattan",18.04
"Allerton/Pelham Gardens, Boro Zone, Bronx","Yorkville East, Yellow Zone, Manhattan",9.85
"Allerton/Pelham Gardens, Boro Zone, Bronx","Yorkville West, Yellow Zone, Manhattan",10.725
"Alphabet City, Yellow Zone, Manhattan","Allerton/Pelham Gardens, Boro Zone, Bronx",14.93
"Alphabet City, Yellow Zone, Manhattan","Alphabet City, Yellow Zone, Manhattan",0.4575
"Alphabet City, Yellow Zone, Manhattan","Astoria, Boro Zone, Queens",-10.01
"Alphabet City, Yellow Zone, Manhattan","Bay Ridge, Boro Zone, Brooklyn",9.52
"Alphabet City, Yellow Zone, Manhattan","Bay Terrace/Fort Totten, Boro Zone, Queens",15.72
"Alphabet City, Yellow Zone, Manhattan","Bedford, Boro Zone, Brooklyn",4.87
"Alphabet City, Yellow Zone, Manhattan","Belmont, Boro Zone, Bronx",12.1
"Alphabet City, Yellow Zone, Manhattan","Bensonhurst East, Boro Zone, Brooklyn",12.16
"Alphabet City, Yellow Zone, Manhattan","Bensonhurst West, Boro Zone, Brooklyn",12.67
"Alphabet City, Yellow Zone, Manhattan","Boerum Hill, Boro Zone, Brooklyn",4.83
"Alphabet City, Yellow Zone, Manhattan","Breezy Point/Fort Tilden/Riis Beach, Boro Zone, Queens",22.63
"Alphabet City, Yellow Zone, Manhattan","Bronx Park, Boro Zone, Bronx",14.84
"Alphabet City, Yellow Zone, Manhattan","Bronxdale, Boro Zone, Bronx",13.895
"Alphabet City, Yellow Zone, Manhattan","Brooklyn Heights, Boro Zone, Brooklyn",4.27875
"Alphabet City, Yellow Zone, Manhattan","Brownsville, Boro Zone, Brooklyn",8.58
"Alphabet City, Yellow Zone, Manhattan","Bushwick South, Boro Zone, Brooklyn",3.8675
"Alphabet City, Yellow Zone, Manhattan","Cambria Heights, Boro Zone, Queens",20.33
"Alphabet City, Yellow Zone, Manhattan","Canarsie, Boro Zone, Brooklyn",8.92
"Alphabet City, Yellow Zone, Manhattan","Central Harlem, Boro Zone, Manhattan",7.7
"Alphabet City, Yellow Zone, Manhattan","Central Harlem North, Boro Zone, Manhattan",8.396875
"Alphabet City, Yellow Zone, Manhattan","Chinatown, Yellow Zone, Manhattan",2.17
"Alphabet City, Yellow Zone, Manhattan","Claremont/Bathgate, Boro Zone, Bronx",12.22333333
"Alphabet City, Yellow Zone, Manhattan","Clinton East, Yellow Zone, Manhattan",4.963333333
"Alphabet City, Yellow Zone, Manhattan","Clinton Hill, Boro Zone, Brooklyn",5.224285714
"Alphabet City, Yellow Zone, Manhattan","Co-Op City, Boro Zone, Bronx",15.84
"Alphabet City, Yellow Zone, Manhattan","Coney Island, Boro Zone, Brooklyn",16.39
"Alphabet City, Yellow Zone, Manhattan","Corona, Boro Zone, Queens",11.16
"Alphabet City, Yellow Zone, Manhattan","Crotona Park East, Boro Zone, Bronx",12.914
"Alphabet City, Yellow Zone, Manhattan","Crown Heights North, Boro Zone, Brooklyn",5.578888889
"Alphabet City, Yellow Zone, Manhattan","Downtown Brooklyn/MetroTech, Boro Zone, Brooklyn",2.508
"Alphabet City, Yellow Zone, Manhattan","Dyker Heights, Boro Zone, Brooklyn",10.27
"Alphabet City, Yellow Zone, Manhattan","East Chelsea, Yellow Zone, Manhattan",0
"Alphabet City, Yellow Zone, Manhattan","East Elmhurst, Boro Zone, Queens",10.03
"Alphabet City, Yellow Zone, Manhattan","East Flatbush/Farragut, Boro Zone, Brooklyn",1.06
"Alphabet City, Yellow Zone, Manhattan","East Harlem North, Boro Zone, Manhattan",6.588125
"Alphabet City, Yellow Zone, Manhattan","East Harlem South, Boro Zone, Manhattan",5.595
"Alphabet City, Yellow Zone, Manhattan","East New York, Boro Zone, Brooklyn",10.156
"Alphabet City, Yellow Zone, Manhattan","East New York/Pennsylvania Avenue, Boro Zone, Brooklyn",8.518
"Alphabet City, Yellow Zone, Manhattan","East Tremont, Boro Zone, Bronx",12.3
"Alphabet City, Yellow Zone, Manhattan","East Village, Yellow Zone, Manhattan",0.77
"Alphabet City, Yellow Zone, Manhattan","Elmhurst/Maspeth, Boro Zone, Queens",7.72
"Alphabet City, Yellow Zone, Manhattan","Far Rockaway, Boro Zone, Queens",22.44
"Alphabet City, Yellow Zone, Manhattan","Financial District North, Yellow Zone, Manhattan",2.83
"Alphabet City, Yellow Zone, Manhattan","Financial District South, Yellow Zone, Manhattan",3.14
"Alphabet City, Yellow Zone, Manhattan","Flatbush/Ditmas Park, Boro Zone, Brooklyn",9.236666667
"Alphabet City, Yellow Zone, Manhattan","Flatiron, Yellow Zone, Manhattan",2.248
"Alphabet City, Yellow Zone, Manhattan","Flatlands, Boro Zone, Brooklyn",9.42
"Alphabet City, Yellow Zone, Manhattan","Flushing, Boro Zone, Queens",13.61
"Alphabet City, Yellow Zone, Manhattan","Forest Hills, Boro Zone, Queens",9.02
"Alphabet City, Yellow Zone, Manhattan","Fort Greene, Boro Zone, Brooklyn",4.666
"Alphabet City, Yellow Zone, Manhattan","Fresh Meadows, Boro Zone, Queens",14.75
"Alphabet City, Yellow Zone, Manhattan","Gramercy, Yellow Zone, Manhattan",1.054705882
"Alphabet City, Yellow Zone, Manhattan","Greenwich Village North, Yellow Zone, Manhattan",1.45
"Alphabet City, Yellow Zone, Manhattan","Hamilton Heights, Boro Zone, Manhattan",9.655
"Alphabet City, Yellow Zone, Manhattan","Hammels/Arverne, Boro Zone, Queens",28.01
"Alphabet City, Yellow Zone, Manhattan","Highbridge, Boro Zone, Bronx",9.8175
"Alphabet City, Yellow Zone, Manhattan","Jackson Heights, Boro Zone, Queens",9.03
"Alphabet City, Yellow Zone, Manhattan","Kensington, Boro Zone, Brooklyn",8.83
"Alphabet City, Yellow Zone, Manhattan","Kew Gardens, Boro Zone, Queens",12.26
"Alphabet City, Yellow Zone, Manhattan","Kingsbridge Heights, Boro Zone, Bronx",5679.762
"Alphabet City, Yellow Zone, Manhattan","Kips Bay, Yellow Zone, Manhattan",1.51
"Alphabet City, Yellow Zone, Manhattan","Lenox Hill East, Yellow Zone, Manhattan",3.12
"Alphabet City, Yellow Zone, Manhattan","Lenox Hill West, Yellow Zone, Manhattan",3.2
"Alphabet City, Yellow Zone, Manhattan","Lincoln Square East, Yellow Zone, Manhattan",5.79
"Alphabet City, Yellow Zone, Manhattan","Lincoln Square West, Yellow Zone, Manhattan",5.2
"Alphabet City, Yellow Zone, Manhattan","Little Italy/NoLiTa, Yellow Zone, Manhattan",2.81
"Alphabet City, Yellow Zone, Manhattan","Long Island City/Hunters Point, Boro Zone, Queens",3.648333333
"Alphabet City, Yellow Zone, Manhattan","Lower East Side, Yellow Zone, Manhattan",1.245
"Alphabet City, Yellow Zone, Manhattan","Manhattan Valley, Yellow Zone, Manhattan",6.43
"Alphabet City, Yellow Zone, Manhattan","Manhattanville, Boro Zone, Manhattan",8.946666667
"Alphabet City, Yellow Zone, Manhattan","Melrose South, Boro Zone, Bronx",8.007272727
"Alphabet City, Yellow Zone, Manhattan","Middle Village, Boro Zone, Queens",0.6175
"Alphabet City, Yellow Zone, Manhattan","Midwood, Boro Zone, Brooklyn",6.2
"Alphabet City, Yellow Zone, Manhattan","Morrisania/Melrose, Boro Zone, Bronx",9.6
"Alphabet City, Yellow Zone, Manhattan","Mott Haven/Port Morris, Boro Zone, Bronx",8.1016
"Alphabet City, Yellow Zone, Manhattan","Mount Hope, Boro Zone, Bronx",10.88166667
"Alphabet City, Yellow Zone, Manhattan","Murray Hill, Yellow Zone, Manhattan",1.71
"Alphabet City, Yellow Zone, Manhattan","North Corona, Boro Zone, Queens",11.27
"Alphabet City, Yellow Zone, Manhattan","Ocean Hill, Boro Zone, Brooklyn",5.97
"Alphabet City, Yellow Zone, Manhattan","Old Astoria, Boro Zone, Queens",8.87
"Alphabet City, Yellow Zone, Manhattan","Park Slope, Boro Zone, Brooklyn",12.62
"Alphabet City, Yellow Zone, Manhattan","Prospect Heights, Boro Zone, Brooklyn",6.056666667
"Alphabet City, Yellow Zone, Manhattan","Prospect Park, Boro Zone, Brooklyn",6.01
"Alphabet City, Yellow Zone, Manhattan","Queensbridge/Ravenswood, Boro Zone, Queens",5.54
"Alphabet City, Yellow Zone, Manhattan","Red Hook, Boro Zone, Brooklyn",6.574
"Alphabet City, Yellow Zone, Manhattan","Ridgewood, Boro Zone, Queens",7.45
"Alphabet City, Yellow Zone, Manhattan","Riverdale/North Riverdale/Fieldston, Boro Zone, Bronx",16.85
"Alphabet City, Yellow Zone, Manhattan","Rockaway Park, Boro Zone, Queens",25.494
"Alphabet City, Yellow Zone, Manhattan","Soundview/Bruckner, Boro Zone, Bronx",11.35
"Alphabet City, Yellow Zone, Manhattan","Soundview/Castle Hill, Boro Zone, Bronx",10.6125
"Alphabet City, Yellow Zone, Manhattan","South Jamaica, Boro Zone, Queens",14.955
"Alphabet City, Yellow Zone, Manhattan","South Williamsburg, Boro Zone, Brooklyn",3.4
"Alphabet City, Yellow Zone, Manhattan","Springfield Gardens North, Boro Zone, Queens",16.34
"Alphabet City, Yellow Zone, Manhattan","Starrett City, Boro Zone, Brooklyn",26.51
"Alphabet City, Yellow Zone, Manhattan","Stuyvesant Heights, Boro Zone, Brooklyn",5.503333333
"Alphabet City, Yellow Zone, Manhattan","Sunnyside, Boro Zone, Queens",6.45
"Alphabet City, Yellow Zone, Manhattan","Sutton Place/Turtle Bay North, Yellow Zone, Manhattan",11.34
"Alphabet City, Yellow Zone, Manhattan","Two Bridges/Seward Park, Yellow Zone, Manhattan",0.816363636
"Alphabet City, Yellow Zone, Manhattan","UN/Turtle Bay South, Yellow Zone, Manhattan",2.075
"Alphabet City, Yellow Zone, Manhattan","Union Sq, Yellow Zone, Manhattan",1.49
"Alphabet City, Yellow Zone, Manhattan","University Heights/Morris Heights, Boro Zone, Bronx",7.299230769
"Alphabet City, Yellow Zone, Manhattan","Upper East Side North, Yellow Zone, Manhattan",4.91
"Alphabet City, Yellow Zone, Manhattan","Upper East Side South, Yellow Zone, Manhattan",3.395
"Alphabet City, Yellow Zone, Manhattan","Van Nest/Morris Park, Boro Zone, Bronx",13.23
"Alphabet City, Yellow Zone, Manhattan","Washington Heights South, Boro Zone, Manhattan",12.15333333
"Alphabet City, Yellow Zone, Manhattan","West Concourse, Boro Zone, Bronx",8.68
"Alphabet City, Yellow Zone, Manhattan","West Farms/Bronx River, Boro Zone, Bronx",11.94333333
"Alphabet City, Yellow Zone, Manhattan","West Village, Yellow Zone, Manhattan",1.8
"Alphabet City, Yellow Zone, Manhattan","Williamsbridge/Olinville, Boro Zone, Bronx",16.4
"Alphabet City, Yellow Zone, Manhattan","Williamsburg (South Side), Boro Zone, Brooklyn",2.662857143
"Alphabet City, Yellow Zone, Manhattan","Woodhaven, Boro Zone, Queens",11.97
"Alphabet City, Yellow Zone, Manhattan","Woodlawn/Wakefield, Boro Zone, Bronx",16.55
"Alphabet City, Yellow Zone, Manhattan","Yorkville West, Yellow Zone, Manhattan",5.57
"Arden Heights, Boro Zone, Staten Island","Arden Heights, Boro Zone, Staten Island",0.295
"Arden Heights, Boro Zone, Staten Island","Baisley Park, Boro Zone, Queens",32.5
"Arden Heights, Boro Zone, Staten Island","Bay Ridge, Boro Zone, Brooklyn",14.76
"Arden Heights, Boro Zone, Staten Island","Bensonhurst West, Boro Zone, Brooklyn",13.68
"Arden Heights, Boro Zone, Staten Island","Bloomfield/Emerson Hill, Boro Zone, Staten Island",34.79
